Parameters,Phi-3-Mini-128K-In 3.8b,Phi-3-Small 7b (preview),Phi-3-Medium 14b (preview),Phi-2 2.7b,Mistral 7b,Gemma 7b,Llama-3-In 8b,Mixtral 8x7b,GPT-3.5 version 1106
MMLU 5-Shot,68.1,75.3,78.2,56.3,61.7,63.6,66.5,68.4,71.4
HellaSwag 5-Shot,74.5,78.7,83.2,53.6,58.5,49.8,71.1,70.4,78.8
ANLI 7-Shot,52.8,55.0,58.7,42.5,47.1,48.7,57.3,55.2,58.1
GSM-8K 0-Shot; CoT,83.6,86.4,90.8,61.1,46.4,59.8,77.4,64.7,78.1
MedQA 2-Shot,55.3,58.2,69.8,40.9,49.6,50.0,60.5,62.2,63.4
AGIEval 0-Shot,36.9,45.0,49.7,29.8,35.1,42.1,42.0,45.2,48.4
TriviaQA 5-Shot,57.1,59.1,73.3,45.2,72.3,75.2,67.7,82.2,85.8
Arc-C 10-Shot,84.0,90.7,91.9,75.9,78.6,78.3,82.8,87.3,87.4
Arc-E 10-Shot,95.2,97.1,98.0,88.5,90.6,91.4,93.4,95.6,96.3
PIQA 5-Shot,83.6,87.8,88.2,60.2,77.7,78.1,75.7,86.0,86.6
SociQA 5-Shot,76.1,79.0,79.4,68.3,74.6,65.5,73.9,75.9,68.3
BigBench-Hard 0-Shot,71.5,75.0,82.5,59.4,57.3,59.6,51.5,69.7,68.32
WinoGrande 5-Shot,72.5,82.5,81.2,54.7,54.2,55.6,65.0,62.0,68.8
OpenBookQA 10-Shot,80.6,88.4,86.6,73.6,79.8,78.6,82.6,85.8,86.0
BoolQ 0-Shot,78.7,82.9,86.5,--,72.2,66.0,80.9,77.6,79.1
CommonSenseQA 10-Shot,78.0,80.3,82.6,69.3,72.6,76.2,79,78.1,79.6
TruthfulQA 10-Shot,63.2,68.1,74.8,--,52.1,53.0,63.2,60.1,85.8
HumanEval 0-Shot,57.9,59.1,54.7,59.0,28.0,34.1,60.4,37.8,62.2
MBPP 3-Shot,62.5,71.4,73.7,60.6,50.8,51.5,67.7,60.2,77.8
